nature;nb_voies;largeur_voirie;largeur_voirie_berme
Autoroute;0;7;8,4
Autoroute;1;9;10,8
Autoroute;2;11;13,2
Autoroute;3;14;16,8
Autoroute;4;18;21,6
Autoroute;5;22;26,4
Autoroute;6;24;28,8
Type autoroutier;0;7;8,4
Type autoroutier;1;9;10,8
Type autoroutier;2;11;13,2
Type autoroutier;3;14;16,8
Type autoroutier;4;18;21,6
Type autoroutier;5;22;26,4
Type autoroutier;6;24;28,8
Quasi-autoroute;0;7;8,4
Quasi-autoroute;1;9;10,8
Quasi-autoroute;2;11;13,2
Quasi-autoroute;3;14;16,8
Quasi-autoroute;4;18;21,6
Quasi-autoroute;5;22;26,4
Quasi-autoroute;6;24;28,8
Bretelle;0;7;8,4
Bretelle;1;9;10,8
Bretelle;2;11;13,2
Bretelle;3;14;16,8
Bretelle;4;18;21,6
Bretelle;5;22;26,4
Bretelle;6;24;28,8
Escalier;0;2;2,4
Escalier;1;2;2,4
Piste cyclable;0;2;2,4
Piste cyclable;1;2;2,4
Piste cyclable;2;4;4,8
Route;0;5;6
Route;1;5;6
Route;2;8;9,6
Route;3;11;13,2
Route;4;14;16,8
Route;5;16;19,2
Route;6;18;21,6
Rond-point;0;5;6
Rond-point;1;5;6
Rond-point;2;8;9,6
Rond-point;3;11;13,2
Rond-point;4;14;16,8
Rond-point;5;16;19,2
Rond-point;6;18;21,6
Route à 1 chaussée;0;5;6
Route à 1 chaussée;1;5;6
Route à 1 chaussée;2;8;9,6
Route à 1 chaussée;3;11;13,2
Route à 1 chaussée;4;14;16,8
Route à 1 chaussée;5;16;19,2
Route à 1 chaussée;6;18;21,6
Route à 2 chaussées;0;5;6
Route à 2 chaussées;1;5;6
Route à 2 chaussées;2;8;9,6
Route à 2 chaussées;3;11;13,2
Route à 2 chaussées;4;14;16,8
Route à 2 chaussées;5;16;19,2
Route à 2 chaussées;6;18;21,6
